commpany_Name,experience_length,experience_level,job_tittle,minimum_qualification,pay,requirements,responsibilities,sector
MOED Resources Nigeria Ltd,1 year,Entry level,Mechanical and Electrical Engineer (M&E) - Construction Site,Degree,,"Bachelor's or Master's degree in Electrical Engineering or a related field.,Proven working experience of 1 - 2 years in mechanical engineering.,Good knowledge of AutoCAD (Electrical) and familiarity with 2D or 3D engineering design tools.,Hands-on experience with computer-aided engineering (CAM) and computer-aided manufacturing (CAE).,Excellent problem-solving and analytical skills.,Effective communication and teamwork abilities.,Solid understanding of core concepts including mechanics, kinematics, thermodynamics, and materials science.,Mathematical computing and analysis tools knowledge (Matlab, Excel, LabView, etc.).,Creativity and analytical skills with a strong work ethic.,Desire to learn and contribute to projects, engaging in lifelong learning for professional development.","Collaborate with experienced electrical engineers to contribute to the design and development of electrical systems and components.,Assist in testing and troubleshooting electrical systems, circuits, and components.,Analyze data and interpret results to evaluate the overall performance, reliability, and safety of the integrated systems.,Maintain accurate records of design changes, test results, and project documentation.,Prepare comprehensive reports documenting the evaluation and performance of both electrical and mechanical systems.,Collaborate effectively with cross-functional teams, including mechanical engineers, to support overall project goals and objectives.,Engage in regular communication to ensure seamless integration of both disciplines.,Conduct research and analysis on emerging technologies and industry trends, providing insights for continuous improvement.,Adhere to safety protocols and industry standards in all engineering activities, ensuring compliance with electrical and mechanical regulations.",Engineering & Technology
Iconns Group,2 years,Mid level,Sales Personnel,HND,"75,000 - 150,000","Proven work experience as a Sales Representative in electronics, real estate etc.,Excellent knowledge of MS Office,Ability to build productive business professional relationships.,Highly motivated and target-driven with a proven track record in sales.,Excellent selling, negotiation, and communication skills,Prioritizing, time management, and organizational skills,Ability to create and deliver presentations tailored to the audience's needs.,Relationship management skills and openness to feedback","Present, promote, and sell products/services using solid arguments to existing and prospective customers.,Perform cost-benefit and needs analysis of existing/potential customers to meet their needs.,Establish, develop, and maintain positive business and customer relationships.,Reach out to customer leads through cold calling,Expedite the resolution of customer problems and complaints to maximize satisfaction,Achieve agreed upon sales targets and outcomes within the schedule,Coordinate sales efforts with team members and other departments,Analyze the territory/market’s potential, track sales and status reports,Supply management with reports on customer needs, problems, interests, competitive activities, and potential for new products and services.,Keep abreast of best practices and promotional trends,Continuously improve through feedback.",Sales
GRAND PRODUCTS COMPANY LTD,1 year,Entry level,Supermarket Cashier,OND,,"This position is open preferably to a young and energetic female candidate.,Minimum academic qualification of OND or equivalent,Good knowledge of basic mathematics,Minimum of 1 - 2 years experience as a Cashier in a Supermarket,Good knowledge of processing POS system,Knowledge of customer service to provide customer satisfaction","Involves processing customer purchases- scanning and bagging items purchased,Operating POS system,Handling cash safely and securely, and maintaining cash Till to avoid discrepancies,Provide great customer service.",Sales
Soteria Eye Clinic,2 years,Entry level,Client Relations Officer,Degree,"75,000 - 150,000","Minimum academic qualification of a Bachelor's degree in any discipline,2 years of working experience,Good communication skills","Welcome patients and clients into the clinic, getting personal details from them and registering them.,Assign new patients to doctors, register them and redirecting them to the procedure and consultation room.,Assist patients and customers with filling out necessary forms and registering them on the software,Promptly escalate customers complaints to the Branch Manager,Coordinate patient waiting area and ensure they see a doctor on time,Carry out other duties assigned by branch Manager /Superiors.",Customer Service & Support
GRAND PRODUCTS COMPANY LTD,2 years,Entry level,Admin Assistant,Degree,,"Minimum academic qualification of a Bachelor’s degree or equivalent,A minimum of 2 years of administrative experience,Proficiency in Word processing and Spreadsheet programs,Organizational Skills,Communication and Writing Skills.","Provide support to help Admin Dept. to stay organized,Organize files, create correspondence, prepare reports, and documents,Complete a range of clerical tasks, including managing Calendars, sorting mails, plan events and manage Schedules,Complete tasks that allow Executives to focus on more  advanced responsibilities.",Admin & Office
Pinnacle Wave Resort LTD,2 years,Entry level,Mixologist/ Bartender,N.C.E,"Less than 75,000","Minimum academic qualification of N.C.E,2 years of working experience","Mix cocktails for customers satisfaction ,Manage the bar ,Guide the waiters ,Take records of stocks at the bar ,Recommend drinks for customers to suit theirtaste. ,Greet customers and create a welcoming atmosphere. ,Keep the bar clean in good hygiene,Make demand for low stocks.",Hospitality & Leisure
Inthink Kids Educational Resources,1 year,Entry level,Customer Service Representative,OND,"75,000 - 150,000","Minimum academic qualification of OND in any discipline,1 year of working experience","Receive and process online orders,Update and manage the company’s website and social media pages,Convert leads into actual sales,Liaise with and manage courier companies,Develop and maintain an updated customer/vendor lists,Answer and direct phone calls,Organize and prepare for exhibitions and outdoor sales events,Assist in the preparation of regularly scheduled reports,Handle customer enquiries and complaints,Establish, develop and maintain positive business and customer relationships,Work in line with company policy to achieve set sales targets and outcomes within schedule,Send weekly email blasts, WhatsApp messages, bulk SMS",Customer Service & Support
EWORLD ELECTRONICS LTD,1 year,Entry level,Cashier,HND,"Less than 75,000","Minimum academic qualification of HND/BSc degree in Accounting, Marketing, or Economics would be advantageous,1 - 2 years of working experience as a Cashier.,Prior experience in retail would be advantageous.","Operating cash registers, printers, scanners, and other electronics when processing payment.,Accept and process sales transactions.,Calculate and return change when required by the payment method.,Balancing the cash register and generating reports for credit and debit sales.,Accepting payments, ensuring all prices and quantities are accurate and proving a receipt to every customer.,Processing refunds and exchanges, resolving complaints.,Maintain a working knowledge of product codes, company return policies and current coupons to ensure that customers pay the appropriate amount for each item purchased.,Respond to customer inquiries, issue receipts, and record customer suggestions.,Liaise with the Accountant to balance the book/account and address any issues or discrepancies in accounting records.,Reconcile cash drawers and sales receipts.,Financial reporting: preparing budgets and financial reports like P& L statements and balance sheets.,Financial control: ensuring compliance with accounting principles.,Preventing thefts and frauds. ,Documenting financial transactions.,Reviewing financial documents and accounts to resolve any discrepancies and irregularities.,Reconciling already documented reports, statements and various transactions.,Accountability and accuracy in reconciling sales receipts,Recommending financial actions by analyzing accounting options.,Cooperating with auditors (internal and external) in preparing audit reports. ","Accounting, Auditing & Finance"
Alister Greene,3 years,Mid level,Business Development manager (Commerical bank experience),Degree,"600,000 - 900,000","Minimum of 3 - 6 years of relevant work experience in a Commercial Bank or Finance Company,Minimum of a bachelor’s degree in Sales, Marketing, or related discipline from a recognized institution,Experience in marketing and relationship management.,Strong understanding of financial products, services, and investment options.,Experience in managing High-worth individuals and corporate organizations,Excellent communication, negotiation, and interpersonal skills,Results-driven with a track record of achieving sales targets,ICT savviness,High competence in project and product management.,Experience with digital marketing forms such as social media marketing and content,marketing.,Excellent attention to detail,Ability to work independently as well as inter-dependently,Proactive and courageous in executing initiatives.","Manage, develop, and expand current client relationships,Routinely identify and develop new client relationships,Products research and development,Implementation of marketing strategies,Profit maximisation through quality Risk Asset creation,Planning, directing, and coordinating marketing efforts,Competitor research.,Identifying potential customers and business development,Relationship management,Attend site visits and pre-proposal conferences as necessary in pursuit of business opportunities,Building brand awareness and positioning,Supporting sales and lead generation efforts,Managing social media marketing strategy and content marketing,Report to the Head of Business Development (Retail/SME)on product development, marketing, and relationship management activities,Any other duties that may be assigned",Management & Business Development
,1 year,Entry level,Accountant,HND,"150,000 - 250,000","Minimum academic qualification of BSc/HND holder additional qualification is an advantage,1 - 3 years of working experience,Good analytical skills","Documentation of all the financial transactions of the restaurant,Keep track of inventory, cash flow, and income statements.,Coordinate & oversee the financial activities.,A custodian of financial instruments,Setting up of Internal Control,Oversee account receivables and payable,Prepare monthly sales reports & budgets.","Accounting, Auditing & Finance"
Maple Education Canada Inc,7 years,Senior level,Business Development Manager,Degree,"400,000 - 600,000","Minimum academic qualification of a bachelor's degree in Business Administration, Marketing, and Finance or a related field is preferred.,Master’s degree in Business Administration or Marketing and/or professional qualification in marketing will be a strong advantage.,Minimum 7 years of proven experience in sales or business development is highly valuable.,Two (2) – Three (3) years in Immigration Consulting or Travel and Tour is a very strong advantage.,Good Knowledge of CRM practices and systems. ,Excellent verbal and written communication skills, with a good command of English.,Strong organizational, multitasking time management, and target-achieving skills.,Proficiency in using productivity software, including Microsoft Office Suite (Word, Excel, PowerPoint, Outlook) and CRM.,Problem-solving skills and the leadership ability to think critically in complex situations.,Excellent selling, communication, negotiation, and networking skills.,Must be able to prepare reports and Correspondence.,Good initiative, time, and stress management skills.,A proactive and adaptable attitude, with a willingness to take on new challenges and work independently.,Good-oriented attitude with professionalism and a friendly demeanor in dealing with colleagues and clients.","Analyze market conditions and identify potential target markets and client segments.,Actively seek out and develop new business opportunities through various channels such as networking, referrals, and cold calling.,Build and maintain strong relationships with existing clients, ensuring their needs are met and promptly addressing any concerns or inquiries.,Present citizenship by investment programs to potential clients, guiding them through the process and addressing their questions and concerns. Close sales and achieve revenue targets.,Prepare customized proposals and presentations for potential clients, highlighting the benefits and advantages of citizenship by investment programs.,Identify opportunities for expanding the company's services into new markets or regions and develop strategies to enter those markets successfully.,Stay informed about the legal and regulatory requirements related to citizenship by investment programs in various countries and ensure the company's services adhere to these regulations.,Maintain accurate records of sales activities, leads, and conversions. Provide regular reports to management on sales performance and market insights.,Educate clients about the benefits, risks, and requirements of citizenship by investment programs, ensuring they have a clear understanding of the process.,Attend industry events, conferences, and trade shows to build a professional network and establish the company as a reputable player in the field.,Gather feedback from clients to continuously improve services and tailor offerings to meet client needs.,Collaborate with other departments to ensure a seamless client experience and successful program execution.,Drive the end-to-end sales process, prepare and submit sales contracts.,In addition to the above, other responsibilities or duties may be assigned to you from time to time.",Management & Business Development
BashleeNG,4 years,Mid level,Learning and Development Specialist,Degree,"150,000 - 250,000",,"A senior L&D professional with a level 8 degree in HR, Learning & Development, Organizational Psychology, Organizational Development or related field. ,Minimum 4 years’ experience working in L&D ,L&D experience in a recruitment or consulting firm ,Experience facilitating on the job training and/or classroom learning",Human Resources
Carmudi Nigeria,2 years,Entry level,Editor,Degree,"150,000 - 250,000","Minimum academic qualification of a Bachelor's Degree in English, Journalism, Communications, or related field,Knowledge of AP Style and other editorial standards,Excellent proofreading and copy editing skills,Experience in fact-checking and researching,Strong written and verbal communication skills,Ability to work well in a team and meet deadlines,Attention to detail and ability to manage multiple tasks at once,Experience with financial or tech writing is a plus","The Editor will be responsible for proofreading, copy editing, and fact-checking articles, blogs, and other pieces of content., The day-to-day tasks will include assigning briefs to writers and working with the editorial team to produce content that is both informative and engaging. ,The Editor will also be responsible for ensuring that the content adheres to our editorial standards. ",Marketing & Communications
StreSERT Integrated Limited,18 years,Executive level,Divisional Managing Director (Investment Banking),MBA / MSc,"2,000,000 - 3,000,000","Oversee deal teams/units on a variety of transactions from initial opportunity development and client pitch, to transaction execution and closing,Direct the execution of financial transactions, which may include investment advisory, mergers and acquisitions, equity/ debt capital market transactions, etc.,Coordinate obtaining of ratings by clients and prospects, and other requirements for successful placement,Lead placement of instruments with institutional investors, particularly PFAs, and other investors,Manage day-to-day aspects of client relationships, transactions, and investment banking teams and serve as primary client contact on engagements.,Oversee the structuring of complex financial transactions, designing the terms and conditions of deals to optimize outcomes for clients.","Actively pursue business development opportunities and originate new client engagements for the firm within selected industry/sector(s),Develop prospect and referral networks and support the firm’s efforts in developing and executing business development and marketing strategies,Building and maintaining strong relationships with clients and serve as a primary point of contact, while providing financial advice tailored to the client’s needs",Management & Business Development
Difusio Media,1 year,Entry level,Video Editor,Diploma,"75,000 - 150,000","A portfolio showcasing previous video editing projects,A commitment to the organization's mission and values.","Edit and produce high-quality video content for various platforms, including social media and live events.,Collaborate with the media team to conceptualize and execute engaging video projects.,Manage and organize video assets for easy accessibility.,Previous experience in a faith-based or nonprofit environment will be added advantage.,Proficiency in video editing software such as Adobe Premiere Pro or similar tools.,Excellent organizational and time management skills.",Creative & Design
Deriv,No Experience/Less than 1 year,Mid level,Business Development Specialist,HND,300 - 500,"In-depth knowledge of the local market, culture, and business challenges,Exceptional networking skills,Entrepreneurial mindset backed by analytical and strategic thinking,Good  communication skills in both English and your native language ,Resilience, adaptability, and a problem-solving approach","Navigating the landscape:  Understand the key features of Africa's market to plan effective growth strategies.,Building affiliate trust: Work well with a wide range of partners to build strong trust, using tact, understanding, and continuous engagement.,Knowledge transfer: Turn Deriv's global vision into local action plans that clearly explain our varied products to partners.,Strengthening relations: Balance global goals with local partnerships to find the best mix of shared interests.,Market dynamism: Adapt quickly to changes in the market, competitor strategies, and new trends in Africa.,Offline engagement: Create and launch local projects that not only showcase the brand but also fit well with what the local audience likes.,Global communication: Make sure communication flows easily between the global Deriv team and local teams. Exchange useful insights and handle local specifics effectively.",Management & Business Development
S S A PROFESSIONAL,2 years,Mid level,Audit Senior,HND,"75,000 - 150,000","Ability to complete audit engagements successfully from beginning to end,Supervises and providing guidance and overall review of deliverables of junior staff,Knowledge of International Financial Reporting Standards (IFRS),Experience of managing small to medium sized Audit engagements, leading Audit teams and reporting to business management,Knowledge of Auditing techniques including Risk assessment, Audit scoping, devising Audit approach, controls testing, substantive Audit testing including sampling techniques,Report writing, presentation and interpersonal skills including good written and verbal communications,Team leadership skills,Management and organizational skills,Proven ability to use initiative, adapt and independently solve problems,Good use of Microsoft Office suite i.e. Excel, Power-point and Word.","Complete audit engagements successfully from beginning to end,Managing small to medium sized Audit engagements, leading Audit teams and reporting to business management","Accounting, Auditing & Finance"
Lagos Beauty,2 years,Mid level,Personal Assistant,HND,"75,000 - 150,000","Manage and prioritize incoming emails, calls, and other communications.,Draft and respond to correspondence on behalf of the employer.","Schedule and coordinate appointments, meetings, and events.,Ensure that the employer is aware of their daily schedule and has all necessary information.",Admin & Office
Tech365,2 years,Mid level,Data Analyst Instructor,Degree,"150,000 - 250,000","Expertise in Data Analysis: In-depth knowledge and practical experience with data analysis tools such as Excel, SQL, PowerBI and Python (Numpy, Pandas, Matplotlib, Seaborn, Plotly).,Teaching Abilities: Strong communication skills with the ability to explain complex concepts in a simple, understandable manner. Experience in teaching or training is required.,Problem-Solving Skills: Proficiency in problem-solving methodologies and the ability to guide others in analyzing and interpreting data to derive meaningful insights.,Continuous Learning: Willingness to learn and adapt to new technologies and methodologies in the data analysis field.","Classroom Instruction: Deliver engaging lectures, and practical sessions to explain complex data analysis topics in a clear and understandable manner. You will guide students through hands-on activities to apply what they have learned.,Support and Guidance: Offer one-on-one assistance, mentoring, and support to students, helping them navigate challenges, understand difficult concepts, and improve their analytical skills.,Assessment and Feedback: Develop evaluation methods such as tests, quizzes, and projects to gauge students' understanding. Provide constructive feedback to aid their learning and improvement.,Stay Updated: Keep abreast of industry trends, tools, and technologies in data analysis. Update course content and materials to ensure relevance and alignment with current industry practices.",Software & Data
Lagos Beauty,2 years,Mid level,Receptionist,Diploma,"75,000 - 150,000","Answer and direct incoming calls in a courteous and efficient manner.,Respond to emails and inquiries, forwarding messages to the appropriate personnel.","Greet visitors and provide a welcoming and professional first impression.,Manage the reception area, ensuring cleanliness and orderliness.",Admin & Office
Difusio Media,2 years,Mid level,Motion Graphics Editor,Diploma,"150,000 - 250,000","A portfolio showcasing previous motion graphics projects.,A commitment to the organization's mission and values.","Design and create visually compelling motion graphics for various multimedia projects.,Collaborate with the media team to conceptualize and implement motion graphic elements.,Ensure consistency and adherence to branding guidelines in all motion graphic assets.,Proficiency in graphics software such as Adobe After Effects, Photoshop or similar tools.,Excellent organizational and time management skills.",Creative & Design
Bakan Gizo Pharmarcy & Store Ltd,7 years,Senior level,Head of Internal Audit,Degree,"250,000 - 400,000","Bachelor’s Degree in Accounting, Finance, Business Administration, or a related field.,ICAN/ACCA certification is a must.,Minimum of 7years’ experience in Internal Control, Audit function, or Retail Operations of which 4 years must be in Internal Control.,Experience in Retail business is an added advantage.,Ability to lead is a major requirement.","Lead and assess annual risk analysis to formulate risk based audit plan., Communicate with senior management and Board on risk-related issues that may indicate weakness in risk management practices. ,Negotiate with others to address issues and achieve mutual consensus.","Accounting, Auditing & Finance"
TGM EDUCATION,2 years,Mid level,Student Counselor,HND,,"Minimum academic qualification of HND degree in a relevant field.,Proven experience in student counselling, preferably in the international education sector.,Strong knowledge of universities and admission processes.,Excellent communication and interpersonal skills.,Ability to empathize with students and provide personalized guidance.,Familiarity with visa regulations and study permit processes.,Self-motivated and able to work independently.,Willingness to travel occasionally for seminars and events.","Conduct one-on-one counselling sessions with students to understand their educational goals and preferences.,Provide information and guidance on universities, programs, and admission requirements.,Assist students with the application process, including document preparation and submission.,Offer support and advice on visa applications, financial planning, and accommodation.,Maintain up-to-date knowledge of educational trends, visa regulations, and scholarship opportunities.,Collaborate with our international partners and university admissions offices.,Participate in promotional events and workshops to engage with prospective students.",Consulting & Strategy
GRAND PRODUCTS COMPANY LTD,2 years,Mid level,Floor Supervisor (Supermarket),Degree,,"Minimum academic qualification of a Bachelor’s degree or equivalent,Not less than 2 years experience as a supervisor in a reputable supermarket,Demonstrate leadership skills,A team player with excellent communication skills,Strong interpersonal skills,Problem-solving skills.","Leads and supervises a team of Sales and shelf attendants, Merchandizers, and other shop floor staff,Provides direction and guidance to subordinates to ensure efficient and effective floor operations, customer service and visual displays,Performs daily store activities such as opening and closing procedures, which include monitoring attendance,Ensure pricing is accurate,Provide feedback on product expiration,Provide feedback on Shelf stock,Handle customer questions and Complaints.",Supply Chain & Procurement
TGM EDUCATION,2 years,Mid level,Student Counselor,HND,,"Minimum academic qualification of HND in a relevant field.,Proven experience in student counselling, preferably in the international education sector.,Strong knowledge of universities and admission processes.,Excellent communication and interpersonal skills.,Ability to empathize with students and provide personalized guidance.,Familiarity with visa regulations and study permit processes.,Self-motivated and able to work independently.,Willingness to travel occasionally for seminars and events.","Conduct one-on-one counselling sessions with students to understand their educational goals and preferences.,Provide information and guidance on universities, programs, and admission requirements.,Assist students with the application process, including document preparation and submission.,Offer support and advice on visa applications, financial planning, and accommodation.,Maintain up-to-date knowledge of educational trends, visa regulations, and scholarship opportunities.,Collaborate with our international partners and university admissions offices.,Participate in promotional events and workshops to engage with prospective students.",Consulting & Strategy
